target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	1995.8	0	0
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	466.01	0.304394	0.0246082
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1718.8	24.6956	0.541295
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	468.01	7.74708	0.623623
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1545.8	0	0
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1182.8	1	0.0318514
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	677.798	1	0.0555826
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	834.798	0	0
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1007.8	0.5	0.0186911
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	695.798	0	0
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1007.8	0.5	0.0186911
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2195.8	0	0
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6031.8	1.08892e-08	6.80124e-11
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6123.8	0.0782652	0.00048149
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5545.8	18.9334	0.128619
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5546.8	1.97423e-06	1.34089e-08
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6066.8	0.0518296	0.000321853
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	996.798	6	0.226769
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	263.544	2	0.285902
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1706.8	30	0.662183
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	795.798	1	0.0473409
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	409.075	6	0.552569
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2274.8	39.1646	0.64862
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2376.8	3.75678	0.0595473
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	963.798	1	0.0390889
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	639.83	3.51778	0.20713
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1374.8	7.48222	0.205036
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	259.557	0	0
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1426.8	0	0
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1373.8	0	0
