target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	2015.26	0	0
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	485.327	16.4743	1.02747
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1738.26	11.5371	0.2009
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	487.327	9.33152	0.579601
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1565.26	0	0
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1202.26	0	0
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	697.274	0	0
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	854.256	0	0
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1027.26	0	0
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	715.256	0	0
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1027.26	0	0
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2215.26	5.5	0.0751512
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6051.26	0	0
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6143.26	0	0
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5565.26	0	0
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5566.26	0	0
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6086.26	0	0
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	1016.26	3.72286	0.110884
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	282.724	6	0.64237
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1726.26	48	0.841653
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	815.256	0.5	0.0185641
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	428.349	1	0.0706642
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2294.26	83.4485	1.10097
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2396.26	3.79221	0.0479023
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	983.256	0	0
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	659.274	2.41203	0.110742
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1394.26	7.58797	0.164733
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	278.724	0	0
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1446.26	32.4823	0.679827
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1393.26	0	0
lcl|NW_022170249.1_mrna_XM_031471975.1_31	1592	1348.26	0	0
lcl|NW_022170249.1_mrna_XM_031471971.1_32	1437	1193.26	1.95466	0.0495833
lcl|NW_022170249.1_mrna_XM_031473644.1_33	1147	903.256	0	0
lcl|NW_022170249.1_mrna_XM_031471566.1_34	852	608.29	0	0
lcl|NW_022170249.1_mrna_XM_031471572.1_35	1598	1354.26	0	0
lcl|NW_022170249.1_ncrna_XR_004142950.1_36	1691	1447.26	10	0.209147
lcl|NW_022170249.1_ncrna_XR_004142949.1_37	472	228.953	0	0
lcl|NW_022170249.1_mrna_XM_031472257.1_38	1385	1141.26	0	0
lcl|NW_022170249.1_mrna_XM_031471594.1_39	1881	1637.26	0	0
lcl|NW_022170249.1_mrna_XM_031473677.1_40	2026	1782.26	0	0
