target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	1992.36	0	0
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	462.433	9.58034	0.472328
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1715.36	18.8445	0.250462
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	464.433	12.5664	0.616876
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1542.36	3	0.0443453
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1179.36	0	0
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	674.359	0	0
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	831.359	3.99759	0.109628
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1004.36	0.5	0.0113499
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	692.359	0	0
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1004.36	0.5	0.0113499
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2192.36	3	0.0311976
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6028.36	0	0
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6120.36	0	0
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5542.36	0	0
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5543.36	0	0
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6063.36	0	0
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	993.359	9	0.206561
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	259.933	0	0
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1703.36	29.4988	0.394829
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	792.359	2.5	0.0719333
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	405.487	5	0.281128
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2271.36	140.993	1.41521
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2373.36	0	0
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	960.359	0	0
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	636.375	3.53666	0.126704
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1371.36	7.46334	0.124078
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	255.958	0	0
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1423.36	52.3784	0.838975
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1370.36	0	0
lcl|NW_022170249.1_mrna_XM_031471975.1_31	1592	1325.36	5.25881	0.0904619
lcl|NW_022170249.1_mrna_XM_031471971.1_32	1437	1170.36	0.0894023	0.00174157
lcl|NW_022170249.1_mrna_XM_031473644.1_33	1147	880.359	2.5	0.0647429
lcl|NW_022170249.1_mrna_XM_031471566.1_34	852	585.406	15.5006	0.603676
lcl|NW_022170249.1_mrna_XM_031471572.1_35	1598	1331.36	0	0
lcl|NW_022170249.1_ncrna_XR_004142950.1_36	1691	1424.36	26	0.416165
lcl|NW_022170249.1_ncrna_XR_004142949.1_37	472	206.595	0	0
lcl|NW_022170249.1_mrna_XM_031472257.1_38	1385	1118.36	0	0
lcl|NW_022170249.1_mrna_XM_031471594.1_39	1881	1614.36	0	0
lcl|NW_022170249.1_mrna_XM_031473677.1_40	2026	1759.36	0	0
lcl|NW_022170249.1_mrna_XM_031473678.1_41	1965	1698.36	0	0
lcl|NW_022170249.1_mrna_XM_031473676.1_42	1904	1637.36	0	0
lcl|NW_022170249.1_mrna_XM_031473674.1_43	1907	1640.36	0	0
lcl|NW_022170249.1_mrna_XM_031471707.1_44	979	712.359	0	0
lcl|NW_022170249.1_mrna_XM_031473550.1_45	947	680.359	0	0
lcl|NW_022170249.1_miscrna_XR_004143193.1_46	592	325.594	0	0
lcl|NW_022170249.1_mrna_XM_031473076.1_47	1604	1337.36	1	0.0170476
lcl|NW_022170249.1_mrna_XM_031482721.1_48	2395	2128.36	11	0.117831
lcl|NW_022170249.1_mrna_XM_031482710.1_49	1491	1224.36	7	0.130347
lcl|NW_022170249.1_mrna_XM_031483342.1_50	1697	1430.36	0	0
lcl|NW_022170249.1_miscrna_XR_004142972.1_51	1140	873.359	0	0
lcl|NW_022170249.1_mrna_XM_031472352.1_52	1340	1073.36	130.422	2.77024
lcl|NW_022170249.1_mrna_XM_031472974.1_53	1790	1523.36	0	0
lcl|NW_022170249.1_mrna_XM_031472973.1_54	1790	1523.36	0	0
lcl|NW_022170249.1_mrna_XM_031472972.1_55	1848	1581.36	96.3144	1.38859
lcl|NW_022170249.1_mrna_XM_031471734.1_56	1128	861.359	0	0
lcl|NW_022170249.1_mrna_XM_031485441.1_57	2638	2371.36	0	0
lcl|NW_022170249.1_mrna_XM_031485370.1_58	2165	1898.36	0	0
lcl|NW_022170249.1_ncrna_XR_004143519.1_59	2097	1830.36	4	0.0498236
lcl|NW_022170249.1_mrna_XM_031472433.1_60	1077	810.359	0.0453039	0.00127459
lcl|NW_022170249.1_mrna_XM_031472430.1_61	1329	1062.36	0	0
lcl|NW_022170249.1_mrna_XM_031472431.1_62	1572	1305.36	0	0
lcl|NW_022170249.1_mrna_XM_031472432.1_63	1543	1276.36	0.0182536	0.000326052
lcl|NW_022170249.1_mrna_XM_031472429.1_64	1439	1172.36	0.0212205	0.000412674
lcl|NW_022170249.1_mrna_XM_031483322.1_65	1203	936.359	0	0
lcl|NW_022170249.1_mrna_XM_031483310.1_66	1271	1004.36	0	0
lcl|NW_022170249.1_mrna_XM_031483302.1_67	1329	1062.36	0	0
lcl|NW_022170249.1_mrna_XM_031472957.1_68	1992	1725.36	2	0.0264279
lcl|NW_022170249.1_mrna_XM_031482493.1_69	2355	2088.36	31.291	0.341606
lcl|NW_022170249.1_ncrna_XR_004142811.1_70	3191	2924.36	13	0.10135
lcl|NW_022170249.1_ncrna_XR_004142812.1_71	512	246.059	219	20.2916
lcl|NW_022170249.1_mrna_XM_031473771.1_72	2087	1820.36	5	0.0626217
lcl|NW_022170249.1_mrna_XM_031471848.1_73	2448	2181.36	11	0.114968
lcl|NW_022170249.1_mrna_XM_031493798.1_74	1328	1061.36	4.24515	0.0911891
lcl|NW_022170249.1_mrna_XM_031493828.1_75	1868	1601.36	0	0
lcl|NW_022170249.1_mrna_XM_031493822.1_76	1068	801.359	0	0
lcl|NW_022170249.1_mrna_XM_031493812.1_77	1104	837.359	0	0
lcl|NW_022170249.1_mrna_XM_031493841.1_78	966	699.359	1	0.0325996
lcl|NW_022170249.1_ncrna_XR_004146334.1_79	650	383.507	1.55151	0.0922341
lcl|NW_022170249.1_mrna_XM_031500890.1_80	2052	1785.36	0	0
lcl|NW_022170249.1_mrna_XM_031500882.1_81	2103	1836.36	47.9542	0.595361
lcl|NW_022170249.1_ncrna_XR_004147160.1_82	1309	1042.36	0	0
lcl|NW_022170249.1_mrna_XM_031472077.1_83	782	515.42	0	0
lcl|NW_022170249.1_mrna_XM_031472621.1_84	1660	1393.36	15	0.245437
lcl|NW_022170249.1_mrna_XM_031472623.1_85	2119	1852.36	0	0
lcl|NW_022170249.1_mrna_XM_031472622.1_86	2043	1776.36	0	0
lcl|NW_022170249.1_ncrna_XR_004143263.1_87	293	56.9036	0	0
lcl|NW_022170249.1_mrna_XM_031483208.1_88	1543	1276.36	4	0.0714495
lcl|NW_022170249.1_mrna_XM_031483215.1_89	1395	1128.36	30.1866	0.609928
lcl|NW_022170249.1_mrna_XM_031475019.1_90	1896	1629.36	0	0
lcl|NW_022170249.1_mrna_XM_031471347.1_91	2446	2179.36	1.76148	0.0184272
lcl|NW_022170249.1_mrna_XM_031471754.1_92	1554	1287.36	0	0
lcl|NW_022170249.1_mrna_XM_031471755.1_93	1273	1006.36	7.23152	0.163828
lcl|NW_022170249.1_ncrna_XR_004142916.1_94	2339	2072.36	36.0078	0.396135
lcl|NW_022170249.1_mrna_XM_031472399.1_95	2173	1906.36	4.67806e-05	5.59465e-07
lcl|NW_022170249.1_mrna_XM_031473772.1_96	689	422.477	1.5	0.0809468
lcl|NW_022170249.1_mrna_XM_031472447.1_97	863	596.406	177	6.76617
lcl|NW_022170249.1_mrna_XM_031472179.1_98	920	653.375	0	0
lcl|NW_022170249.1_ncrna_XR_004143135.1_99	1157	890.359	306	7.83553
lcl|NW_022170249.1_mrna_XM_031473234.1_100	1317	1050.36	187.516	4.07016
lcl|NW_022170249.1_mrna_XM_031473238.1_101	1115	848.359	127.02	3.41354
lcl|NW_022170249.1_mrna_XM_031473236.1_102	1115	848.359	127.02	3.41354
lcl|NW_022170249.1_mrna_XM_031473235.1_103	1462	1195.36	13.3927	0.255435
lcl|NW_022170249.1_mrna_XM_031473233.1_104	1457	1190.36	1148.99	22.0065
lcl|NW_022170249.1_mrna_XM_031473240.1_105	1115	848.359	154.656	4.15621
lcl|NW_022170249.1_mrna_XM_031473237.1_106	1114	847.359	493.402	13.2753
lcl|NW_022170249.1_ncrna_XR_004143134.1_107	2178	1911.36	69	0.823036
lcl|NW_022170249.1_ncrna_XR_004143133.1_108	1662	1395.36	10	0.16339
lcl|NW_022170249.1_mrna_XM_031472212.1_109	1238	971.359	51.8279	1.21645
lcl|NW_022170249.1_mrna_XM_031473241.1_110	959	692.359	2	0.0658583
lcl|NW_022170249.1_mrna_XM_031473242.1_111	1246	979.359	3	0.0698379
lcl|NW_022170249.1_ncrna_XR_004143136.1_112	2459	2192.36	27.9995	0.291172
lcl|NW_022170249.1_mrna_XM_031477270.1_113	935	668.359	1	0.0341116
lcl|NW_022170249.1_mrna_XM_031473919.1_114	1019	752.359	3	0.0909093
lcl|NW_022170249.1_mrna_XM_031472269.1_115	1839	1572.36	0.5	0.00724987
lcl|NW_022170249.1_mrna_XM_031472275.1_116	603	336.569	4.87564	0.33027
lcl|NW_022170249.1_mrna_XM_031472295.1_117	603	336.569	0	0
lcl|NW_022170249.1_mrna_XM_031492157.1_118	561	294.679	48	3.71368
lcl|NW_022170249.1_mrna_XM_031492146.1_119	983	716.359	2.39945	0.0763649
lcl|NW_022170249.1_ncrna_XR_004146078.1_120	6254	5987.36	28.7557	0.109497
lcl|NW_022170249.1_ncrna_XR_004146077.1_121	7293	7026.36	0	0
lcl|NW_022170249.1_ncrna_XR_004146079.1_122	1471	1204.36	40	0.757209
lcl|NW_022170249.1_ncrna_XR_004142863.1_123	2279	2012.36	0	0
lcl|NW_022170249.1_ncrna_XR_004142862.1_124	2284	2017.36	0	0
lcl|NW_022170249.1_ncrna_XR_004142861.1_125	2336	2069.36	22	0.242381
lcl|NW_022170249.1_mrna_XM_031481342.1_126	643	376.517	0	0
lcl|NW_022170249.1_mrna_XM_031471867.1_127	3471	3204.36	0	0
lcl|NW_022170249.1_mrna_XM_031473345.1_128	1910	1643.36	0	0
lcl|NW_022170249.1_mrna_XM_031472364.1_129	1494	1227.36	0	0
lcl|NW_022170249.1_mrna_XM_031472723.1_130	1819	1552.36	0	0
lcl|NW_022170249.1_mrna_XM_031472371.1_131	1212	945.359	4.5986e-07	1.10902e-08
lcl|NW_022170249.1_mrna_XM_031472390.1_132	1404	1137.36	1	0.0200454
lcl|NW_022170249.1_ncrna_XR_004142887.1_133	290	55.5046	6	2.46453
lcl|NW_022170249.1_mrna_XM_031472393.1_134	3432	3165.36	275.555	1.98471
lcl|NW_022170249.1_mrna_XM_031472986.1_135	1116	849.359	0.000515728	1.38434e-05
lcl|NW_022170249.1_mrna_XM_031472419.1_136	4158	3891.36	0	0
lcl|NW_022170249.1_mrna_XM_031472428.1_137	646	379.507	0	0
lcl|NW_022170249.1_mrna_XM_031473848.1_138	3945	3678.36	78.4971	0.486532
lcl|NW_022170249.1_miscrna_XR_004143261.1_139	3945	3678.36	78.4971	0.486532
lcl|NW_022170249.1_mrna_XM_031477230.1_140	830	563.42	0	0
