target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	1998.54	0	0
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	468.631	21.0475	1.14496
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1721.54	22.8523	0.338403
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	470.619	23.6397	1.28054
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1548.54	1.17695	0.0193756
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1185.54	5	0.107516
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	680.542	2	0.0749197
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	837.542	0	0
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1010.54	0.740221	0.0186736
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	698.542	2	0.0729892
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1010.54	0.740221	0.0186736
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2198.54	5	0.0579771
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6034.54	0	0
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6126.54	7.44412e-07	3.09756e-09
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5548.54	235.029	1.07985
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5549.54	1.05806e-08	4.86041e-11
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6069.54	1.02766e-06	4.31634e-09
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	999.542	10	0.255047
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	266.213	0	0
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1709.54	15.2958	0.228094
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	798.542	1	0.0319244
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	411.722	0	0
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2277.54	83.9425	0.939586
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2379.54	2.72262	0.0291686
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	966.542	0	0
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	642.56	0	0
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1377.54	12	0.222074
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	262.241	0	0
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1429.54	0	0
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1376.54	0	0
